,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.1,0.1341,0.7458,-0.4588,0.218
LW_Identity,0.1,0.1341,0.7456,-0.4588,0.218
LW_Market,0.0998,0.1342,0.7436,-0.4594,0.2172
EWMA,0.1024,0.1346,0.7605,-0.4573,0.2239
EWMA_LW,0.1024,0.1346,0.7607,-0.4572,0.2239
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
