,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.0989,0.1428,0.6927,-0.4312,0.2294
LW_Identity,0.0991,0.1427,0.694,-0.4306,0.23
LW_Market,0.0992,0.1424,0.6966,-0.43,0.2308
EWMA,0.0941,0.1332,0.7067,-0.4293,0.2192
EWMA_LW,0.0941,0.1332,0.7063,-0.4295,0.219
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
