,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.0965,0.1257,0.7675,-0.4004,0.241
LW_Identity,0.0966,0.1257,0.7683,-0.4006,0.2411
LW_Market,0.0959,0.1249,0.7681,-0.4009,0.2393
EWMA,0.101,0.1222,0.8266,-0.3621,0.279
EWMA_LW,0.1009,0.1222,0.826,-0.3621,0.2788
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
