,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.0938,0.1226,0.7651,-0.3694,0.254
LedoitWolf,0.0935,0.1227,0.7621,-0.3698,0.2529
EWMA,0.0977,0.1259,0.7767,-0.3772,0.2591
EWMA_LW,0.0975,0.1258,0.7753,-0.3764,0.2591
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
