,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.0976,0.1335,0.7308,-0.4555,0.2141
LedoitWolf,0.0975,0.1335,0.7305,-0.4555,0.2141
EWMA,0.1002,0.1356,0.7389,-0.4642,0.2159
EWMA_LW,0.1003,0.1356,0.7395,-0.4641,0.2161
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
