,Ann. Return,Ann. Vol,Sharpe,Max Drawdown,Calmar
Sample,0.0956,0.1221,0.7834,-0.3517,0.2719
LW_Identity,0.0955,0.1221,0.7817,-0.3525,0.2708
LW_Market,0.0947,0.1211,0.7817,-0.353,0.2681
EWMA,0.0984,0.1243,0.7919,-0.3735,0.2635
EWMA_LW,0.0984,0.1243,0.7921,-0.3736,0.2635
EQW,0.1143,0.1725,0.6625,-0.5263,0.2172
